Date,Open,High,Low,Close,Volume
10/16/2015,15:00,24.95,25.03,24.95,24.995,8580909
10/16/2015,15:30,24.997,25.026,24.972,25.01,18350424
10/16/2015,16:00,25.015,25.028,24.997,25.01,7411687
10/16/2015,16:30,25.01,25.01,25.003,25.008,105351
10/16/2015,17:00,25.006,25.008,25.003,25.008,43948
10/16/2015,17:30,25.008,25.015,25.001,25.001,1556983
10/16/2015,18:00,25.006,25.01,24.997,24.997,23794
10/16/2015,18:30,24.997,25.008,24.997,25.008,13379
10/16/2015,19:00,24.999,25.01,24.994,25.01,24057
10/16/2015,19:30,25.008,25.012,24.997,24.997,14285
10/19/2015,04:00,25.071,25.071,25.017,25.017,6215
10/19/2015,05:00,25.039,25.039,25.017,25.017,3916
10/19/2015,05:30,25.017,25.021,25.017,25.021,3081
10/19/2015,06:00,25.024,25.028,25.006,25.006,8044
10/19/2015,06:30,25.028,25.039,25.026,25.035,5550
10/19/2015,07:00,25.021,25.046,24.976,25.046,37734
10/19/2015,07:30,25.073,25.073,25.017,25.028,45949
10/19/2015,08:00,25.028,25.082,24.994,25.028,201192
10/19/2015,08:30,25.028,25.028,24.947,24.947,202212
10/19/2015,09:00,24.947,24.992,24.906,24.972,286779
10/19/2015,09:30,24.961,25.003,24.805,24.965,18831682
10/19/2015,10:00,24.961,25.109,24.886,25.078,12965210
10/19/2015,10:30,25.078,25.114,25.015,25.109,8254442
10/19/2015,11:00,25.109,25.136,25.003,25.006,8265616
10/19/2015,11:30,25.006,25.065,24.979,25.048,7349875
10/19/2015,12:00,25.046,25.06,25.012,25.055,4355021
10/19/2015,12:30,25.055,25.06,25.016,25.028,4180893
10/19/2015,13:00,25.028,25.051,24.972,24.981,5080775
10/19/2015,13:30,24.979,25.051,24.976,25.039,7402501
10/19/2015,14:00,25.037,25.096,25.021,25.053,7546355
10/19/2015,14:30,25.054,25.136,25.048,25.134,8463577
10/19/2015,15:00,25.134,25.136,25.078,25.098,6809645
10/19/2015,15:30,25.099,25.175,25.089,25.17,14512914
10/19/2015,16:00,25.17,25.17,25.129,25.141,8383347
10/19/2015,16:30,25.15,25.15,25.132,25.141,31580
10/19/2015,17:00,25.143,25.163,25.129,25.132,79154
10/19/2015,17:30,25.132,25.157,25.132,25.143,13762
10/19/2015,18:00,25.152,25.17,25.143,25.143,54626
10/19/2015,18:30,25.143,25.143,25.143,25.143,11098
10/19/2015,19:00,25.143,25.154,25.139,25.139,21845
10/19/2015,19:30,25.15,25.15,25.129,25.143,31722
10/20/2015,04:30,25.08,25.08,25.062,25.062,1332
10/20/2015,05:00,25.055,25.055,25.055,25.055,1332
10/20/2015,06:00,25.111,25.111,25.111,25.111,888
10/20/2015,06:30,25.107,25.109,25.107,25.109,2881
10/20/2015,07:00,25.111,25.127,25.102,25.118,17685
10/20/2015,07:30,25.114,25.141,25.114,25.134,16305
10/20/2015,08:00,25.125,25.267,25.111,25.249,340621
10/20/2015,08:30,25.267,25.276,25.235,25.265,313090
10/20/2015,09:00,25.265,25.307,24.947,25.044,2924576
10/20/2015,09:30,25.082,25.307,24.965,25.271,27332565
10/20/2015,10:00,25.271,25.598,25.265,25.565,35533950
10/20/2015,10:30,25.564,25.658,25.549,25.618,20229282
10/20/2015,11:00,25.618,25.632,25.492,25.612,15480834
10/20/2015,11:30,25.612,25.666,25.535,25.603,13975815
10/20/2015,12:00,25.598,25.72,25.576,25.672,15440374
10/20/2015,12:30,25.671,25.697,25.58,25.692,10856723
10/20/2015,13:00,25.69,25.692,25.567,25.589,9521912
10/20/2015,13:30,25.587,25.625,25.546,25.613,7463163
10/20/2015,14:00,25.612,25.659,25.58,25.644,5973119
10/20/2015,14:30,25.643,25.659,25.596,25.614,7833625
10/20/2015,15:00,25.614,25.666,25.573,25.648,8210438
10/20/2015,15:30,25.648,25.666,25.591,25.636,16433504
10/20/2015,16:00,25.63,25.648,25.546,25.546,7363146
10/20/2015,16:30,25.551,25.63,25.54,25.56,170681
10/20/2015,17:00,25.571,25.58,25.546,25.58,23599
10/20/2015,17:30,25.589,25.591,25.582,25.591,29880
10/20/2015,18:00,25.589,25.594,25.564,25.571,6153
10/20/2015,18:30,25.58,25.587,25.562,25.576,12412
10/20/2015,19:00,25.576,25.591,25.576,25.591,18591
10/20/2015,19:30,25.591,25.596,25.578,25.578,37520
10/21/2015,04:30,25.616,25.616,25.616,25.616,444
10/21/2015,05:00,25.641,25.677,25.639,25.677,5429
10/21/2015,05:30,25.693,25.693,25.661,25.661,7538
10/21/2015,06:00,25.67,25.704,25.663,25.702,15315
10/21/2015,06:30,25.704,25.704,25.681,25.681,19205
10/21/2015,07:00,25.666,25.666,25.648,25.648,6348
10/21/2015,07:30,25.652,25.666,25.621,25.621,35274
10/21/2015,08:00,25.607,25.699,25.553,25.591,266762
10/21/2015,08:30,25.603,25.659,25.603,25.659,259177
10/21/2015,09:00,25.659,25.681,25.614,25.663,917741
10/21/2015,09:30,25.672,25.794,25.614,25.738,27194432
10/21/2015,10:00,25.738,25.738,25.639,25.657,12422290
10/21/2015,10:30,25.657,25.776,25.639,25.748,10469774
10/21/2015,11:00,25.749,25.779,25.695,25.746,7533547
10/21/2015,11:30,25.749,25.938,25.749,25.934,16609845
10/21/2015,12:00,25.934,26.017,25.909,26.01,12346276
10/21/2015,12:30,26.01,26.037,25.925,25.928,13506651
10/21/2015,13:00,25.928,25.938,25.837,25.853,10979669
10/21/2015,13:30,25.853,25.925,25.828,25.847,9102540
10/21/2015,14:00,25.846,25.85,25.751,25.817,9358522
10/21/2015,14:30,25.817,25.88,25.778,25.81,12067823
10/21/2015,15:00,25.808,25.841,25.711,25.774,9009865
10/21/2015,15:30,25.774,25.781,25.621,25.627,16225885
10/21/2015,16:00,25.627,25.648,25.591,25.603,7178683
10/21/2015,16:30,25.594,25.632,25.591,25.621,98590
10/21/2015,17:00,25.63,25.648,25.63,25.648,97187
10/21/2015,17:30,25.641,25.648,25.627,25.627,40384
10/21/2015,18:00,25.632,25.645,25.625,25.636,37044
10/21/2015,18:30,25.627,25.634,25.618,25.625,14032
10/21/2015,19:00,25.634,25.634,25.616,25.625,16704
10/21/2015,19:30,25.625,25.625,25.603,25.625,29095
10/22/2015,06:00,25.704,25.724,25.704,25.704,9545
10/22/2015,06:30,25.661,25.661,25.661,25.661,444
10/22/2015,07:00,25.693,25.704,25.681,25.681,8678
10/22/2015,07:30,25.681,25.681,25.657,25.677,40950
10/22/2015,08:00,25.672,25.754,25.58,25.731,221952
10/22/2015,08:30,25.715,25.792,25.695,25.79,280068
10/22/2015,09:00,25.778,25.799,25.733,25.774,559725
10/22/2015,09:30,25.756,25.902,25.713,25.837,20487099
10/22/2015,10:00,25.837,25.862,25.76,25.808,11490962
10/22/2015,10:30,25.81,25.947,25.801,25.92,13491562
10/22/2015,11:00,25.918,25.95,25.81,25.812,10553532
10/22/2015,11:30,25.812,25.889,25.704,25.841,17383146
10/22/2015,12:00,25.844,25.918,25.844,25.915,9661476
10/22/2015,12:30,25.916,25.934,25.891,25.911,9090613
10/22/2015,13:00,25.911,25.931,25.828,25.855,9139322
10/22/2015,13:30,25.855,25.9,25.849,25.875,7439399
10/22/2015,14:00,25.875,25.886,25.803,25.863,9806154
10/22/2015,14:30,25.864,26.006,25.848,26.006,12857850
10/22/2015,15:00,26.006,26.017,25.952,26.008,11071013
10/22/2015,15:30,26.008,26.019,25.961,26.017,17821183
10/22/2015,16:00,26.019,26.168,25.988,26.143,10402634
10/22/2015,16:30,26.143,26.164,26.107,26.116,324108
10/22/2015,17:00,26.132,26.132,26.098,26.121,194247
10/22/2015,17:30,26.121,26.164,26.109,26.15,211722
10/22/2015,18:00,26.145,26.177,26.132,26.177,126739
10/22/2015,18:30,26.182,26.195,26.177,26.195,73675
10/22/2015,19:00,26.197,26.209,26.168,26.173,153516
10/22/2015,19:30,26.175,26.256,26.175,26.245,152220
10/23/2015,04:00,26.132,26.223,26.094,26.223,22390
10/23/2015,04:30,26.218,26.223,26.189,26.189,13759
10/23/2015,05:00,26.189,26.2,26.177,26.18,16004
10/23/2015,05:30,26.168,26.2,26.132,26.171,21708
10/23/2015,06:00,26.209,26.209,26.148,26.177,40466
10/23/2015,06:30,26.173,26.191,26.135,26.155,65190
10/23/2015,07:00,26.155,26.441,26.148,26.423,378861
10/23/2015,07:30,26.403,26.425,26.268,26.335,420267
10/23/2015,08:00,26.335,26.441,26.168,26.378,577731
10/23/2015,08:30,26.364,26.391,26.304,26.308,686370
10/23/2015,09:00,26.308,26.358,26.265,26.29,696159
10/23/2015,09:30,26.29,26.675,26.207,26.665,48910565
10/23/2015,10:00,26.665,26.671,26.522,26.635,29592587
10/23/2015,10:30,26.635,26.707,26.583,26.678,20543601
10/23/2015,11:00,26.675,26.747,26.519,26.698,17919196
10/23/2015,11:30,26.7,26.702,26.605,26.628,12171715
10/23/2015,12:00,26.63,26.711,26.601,26.705,10648178
10/23/2015,12:30,26.705,26.738,26.688,26.725,8851579
10/23/2015,13:00,26.724,26.752,26.662,26.716,8897643
10/23/2015,13:30,26.718,26.768,26.716,26.74,10128434
10/23/2015,14:00,26.74,26.797,26.711,26.781,11213540
10/23/2015,14:30,26.781,26.86,26.765,26.814,16044566
10/23/2015,15:00,26.813,26.824,26.725,26.742,12925977
10/23/2015,15:30,26.743,26.831,26.738,26.829,23083047
10/23/2015,16:00,26.826,26.84,26.653,26.808,12272355
10/23/2015,16:30,26.815,26.826,26.808,26.82,129689
10/23/2015,17:00,26.824,26.831,26.815,26.826,163423
10/23/2015,17:30,26.824,26.842,26.824,26.835,69070
10/23/2015,18:00,26.835,26.84,26.831,26.831,50130
10/23/2015,18:30,26.833,26.838,26.831,26.833,34388
10/23/2015,19:00,26.838,26.84,26.833,26.84,38978
10/23/2015,19:30,26.84,26.847,26.833,26.847,143577
10/26/2015,04:00,26.812,26.812,26.679,26.722,38653
10/26/2015,04:30,26.763,26.779,26.763,26.774,41181
10/26/2015,05:00,26.776,26.776,26.736,26.74,141596
10/26/2015,05:30,26.7,26.706,26.639,26.65,90254
10/26/2015,06:00,26.65,26.727,26.65,26.718,74402
10/26/2015,06:30,26.679,26.722,26.61,26.65,149977
10/26/2015,07:00,26.65,26.65,26.551,26.583,270076
10/26/2015,07:30,26.571,26.58,26.468,26.58,423707
10/26/2015,08:00,26.58,26.695,26.474,26.605,2153526
10/26/2015,08:30,26.605,26.625,26.551,26.583,761710
10/26/2015,09:00,26.585,26.607,26.526,26.569,1270331
10/26/2015,09:30,26.601,26.612,26.042,26.116,61617173
10/26/2015,10:00,26.118,26.197,25.979,26.062,34588742
10/26/2015,10:30,26.06,26.177,26.046,26.145,19160224
10/26/2015,11:00,26.145,26.157,25.97,25.983,17177483
10/26/2015,11:30,25.986,26.045,25.929,25.947,17723611
10/26/2015,12:00,25.949,26.064,25.931,26.044,12017949
10/26/2015,12:30,26.044,26.112,26.01,26.01,10757276
10/26/2015,13:00,26.01,26.067,25.986,26.026,9919176
10/26/2015,13:30,26.028,26.044,25.889,25.934,15151728
10/26/2015,14:00,25.936,25.968,25.909,25.931,8271151
10/26/2015,14:30,25.929,25.984,25.913,25.981,9283221
10/26/2015,15:00,25.982,26.073,25.943,26.046,16078873
10/26/2015,15:30,26.044,26.107,25.916,25.968,28097895
10/26/2015,16:00,25.966,26.082,25.929,25.945,10114292
10/26/2015,16:30,25.952,25.974,25.952,25.963,101505
10/26/2015,17:00,25.963,25.97,25.943,25.961,131282
10/26/2015,17:30,25.963,25.965,25.952,25.961,126045
10/26/2015,18:00,25.965,25.97,25.949,25.952,101291
10/26/2015,18:30,25.945,25.963,25.94,25.947,102014
10/26/2015,19:00,25.947,25.963,25.938,25.945,188543
10/26/2015,19:30,25.945,25.963,25.943,25.952,84601
10/27/2015,04:00,25.949,25.961,25.907,25.907,16091
10/27/2015,04:30,25.871,25.898,25.778,25.778,5798
10/27/2015,05:00,25.817,25.817,25.781,25.805,3103
10/27/2015,05:30,25.884,25.884,25.884,25.884,888
10/27/2015,06:00,25.893,25.904,25.873,25.904,16824
10/27/2015,06:30,25.907,25.97,25.891,25.968,19603
10/27/2015,07:00,25.972,26.073,25.907,26.064,51027
10/27/2015,07:30,26.078,26.121,26.078,26.121,176898
10/27/2015,08:00,26.114,26.123,25.88,26.071,799269
10/27/2015,08:30,26.08,26.087,26.024,26.031,498274
10/27/2015,09:00,26.035,26.046,25.974,25.997,494194
10/27/2015,09:30,25.997,26.195,25.862,26.153,32123067
10/27/2015,10:00,26.152,26.173,26.044,26.139,15130127
10/27/2015,10:30,26.136,26.254,26.064,26.177,18260930
10/27/2015,11:00,26.177,26.245,26.069,26.075,13219412
10/27/2015,11:30,26.075,26.107,25.986,26.06,14056294
10/27/2015,12:00,26.058,26.078,25.882,25.884,15879878
10/27/2015,12:30,25.886,25.965,25.848,25.963,11784623
10/27/2015,13:00,25.965,26.071,25.92,25.945,12304810
10/27/2015,13:30,25.945,26.044,25.925,25.931,11646462
10/27/2015,14:00,25.929,25.977,25.904,25.957,9954846
10/27/2015,14:30,25.957,25.974,25.884,25.888,10829799
10/27/2015,15:00,25.887,25.927,25.794,25.843,20645938
10/27/2015,15:30,25.844,25.88,25.679,25.812,41607101
10/27/2015,16:00,25.805,25.884,25.645,25.697,9959351
10/27/2015,16:30,25.76,26.657,24.963,26.269,30192756
10/27/2015,17:00,26.263,26.323,25.812,25.929,8479299
10/27/2015,17:30,25.929,25.997,25.641,25.758,4867879
10/27/2015,18:00,25.756,25.873,25.697,25.859,1218588
